# MeV/fm^3               MeV/fm^3
# energy_density         pressure
9.380979959483970454e-01 3.266147259532120139e-04
9.850344197810060320e-01 3.469752003803280166e-04
1.034283957282569943e+00 3.684864760122510009e-04
1.086017124894810060e+00 3.911057732239449857e-04
1.140338117316199940e+00 4.148581348431510133e-04
1.197376398272959941e+00 4.397730846201980208e-04
1.257267810386579976e+00 4.658772002829080004e-04
1.320155194629170081e+00 4.931951559129380339e-04
1.386188359612400056e+00 5.217507785874879629e-04
1.455524514360940103e+00 5.515600789962300061e-04
1.528329128752339949e+00 5.826385417677180500e-04
1.604775423901330100e+00 6.149952730041680082e-04
1.685045831572500097e+00 6.486378306631580262e-04
1.769331461688739893e+00 6.835637583414210048e-04
1.857833202588830002e+00 7.197676757628489533e-04
1.950761773273629984e+00 7.572379209786230230e-04
2.048338746972679925e+00 7.959565042087910457e-04
2.150796482351370109e+00 8.358987198204600316e-04
2.258379206216449830e+00 8.770345366534749738e-04
2.371343077680649891e+00 9.193252068667059733e-04
2.489957414654219825e+00 9.627298314706840294e-04
2.614504589022180081e+00 1.007197151288859952e-03
2.745281465370009943e+00 1.052676061726329996e-03
2.882599479981069912e+00 1.099108903082110077e-03
3.026785730935280139e+00 1.146437786937430084e-03
3.178183705567810158e+00 1.194606476117390055e-03
3.337154045025159999e+00 1.243560070876430050e-03
3.504075332364379847e+00 1.293254278339160072e-03
3.679345133945150170e+00 1.343652901772289954e-03
3.863381142670049950e+00 1.394745086306780051e-03
4.056621509774680057e+00 1.446535279824000004e-03
4.259526609875930347e+00 1.499066126974169964e-03
4.472579559158240237e+00 1.552425189633409959e-03
4.696287795734719772e+00 1.606752079978129941e-03
4.931184288784029590e+00 1.662256522252829934e-03
5.177828428148329998e+00 1.719234945567179934e-03
5.436807807739049814e+00 1.778095232014470072e-03
5.708739148185079770e+00 1.839365738349820010e-03
5.994270185159219722e+00 1.903735185805580056e-03
6.294081392412699927e+00 1.972082196479030096e-03
6.608886422152579598e+00 2.045503454949959814e-03
6.939435826439400046e+00 2.125367959076110164e-03
7.286516808754449848e+00 2.213351969090750042e-03
7.650956570233909737e+00 2.311504837726199857e-03
8.033623688385780781e+00 2.422303367392240111e-03
8.435430046077749822e+00 2.548734440562690044e-03
8.857333666054220345e+00 2.694362828713989851e-03
9.300340309521599735e+00 2.863439164014790206e-03
9.765506711904839321e+00 3.060994990012729823e-03
1.025394206305089995e+01 3.292968747769139861e-03
1.076681204252930080e+01 3.566347963631200102e-03
1.130534056245410035e+01 3.889281700230389806e-03
1.187081299277910063e+01 4.271339207741529573e-03
1.246458019191839917e+01 4.723600445534180403e-03
1.308806023885320080e+01 5.258958083334350046e-03
1.374274395635639934e+01 5.892276294411750298e-03
1.443019635351680030e+01 6.640781514116350301e-03
1.515206202600250052e+01 7.524246961239480433e-03
1.591006990715909986e+01 8.565370038412940465e-03
1.670603393576899975e+01 9.790244942925990790e-03
1.754186356756419940e+01 1.122856281336329955e-02
1.841956266274589993e+01 1.291433849155800007e-02
1.934123820002039906e+01 1.488620362565339951e-02
2.030910453598150056e+01 1.718809713074780088e-02
2.132548877984350000e+01 1.986988036010680150e-02
2.239283734466809861e+01 2.298795499741319859e-02
2.351372166148809839e+01 2.660607887747400147e-02
2.469084537686330094e+01 3.079617191261310033e-02
2.592705142538070007e+01 3.563921450301470173e-02
2.722532855706930022e+01 4.122626873565789912e-02
2.858877151528999860e+01 4.765655702467570115e-02
3.002077193880619888e+01 5.505019784395950161e-02
3.152476850614290171e+01 6.353267251971450591e-02
3.310441895124630207e+01 7.324712826340440408e-02
3.476357144386430065e+01 8.435326165816910138e-02
3.650627501028569810e+01 9.702900653366919315e-02
3.833679051708819685e+01 1.114723806149739982e-01
4.025960227297210281e+01 1.279035231839990017e-01
4.227943046226999968e+01 1.465669770365720104e-01
4.440124413131709957e+01 1.677342243654409981e-01
4.663027505677079887e+01 1.917065703559920065e-01
4.897203253460470052e+01 2.188184478428029933e-01
5.143231888527689932e+01 2.494412308753060081e-01
5.401724616937119805e+01 2.839877299853419967e-01
5.673325379391960155e+01 3.229175234287119944e-01
5.958712740800879715e+01 3.667433810958989904e-01
6.258601907508830209e+01 4.160390837676170017e-01
6.573746887231689584e+01 4.714490311779990228e-01
6.904942804637529719e+01 5.337001483522859635e-01
7.253028414211989627e+01 6.036167352906399719e-01
7.618888806857549412e+01 6.821390691682179819e-01
8.003458359987050130e+01 7.703467909484420506e-01
8.407723983248270372e+01 8.694883587020280080e-01
8.832728649827829770e+01 9.810181833729499923e-01
9.279575380076400393e+01 1.106643426310369938e+00
9.749431615483409530e+01 1.248382965660639998e+00
1.024353420126920042e+02 1.408641522349169950e+00
1.076319500528410060e+02 1.590302699100490047e+00
1.130980732878160069e+02 1.796845424189440044e+00
1.188485331771330067e+02 2.032489157398400081e+00
1.248991300714660042e+02 2.302357037205279955e+00
1.312667177453189993e+02 2.612762027468110038e+00
1.379693654805130052e+02 2.971394006473650151e+00
1.450264640205969897e+02 3.387709161734739904e+00
1.524588981844090085e+02 3.873325102515099871e+00
1.602876782133689915e+02 4.355330916618600057e+00
1.685318589874640054e+02 4.847479635003359988e+00
1.772142238919699935e+02 5.400551069398350279e+00
1.863604446840290052e+02 6.042016201178570078e+00
1.959988031606800121e+02 6.799306173869739567e+00
2.061604406308800037e+02 7.703125492298640076e+00
2.168797060559570014e+02 8.789011710823290358e+00
2.281945851318110101e+02 1.009842502619409998e+01
2.401471994918800021e+02 1.167962296676309997e+01
2.527843712999199965e+02 1.358835878604759984e+01
2.661582523778830023e+02 1.588838258160540029e+01
2.803270013689539724e+02 1.865172184199959915e+01
2.953554902900639831e+02 2.195878014466429917e+01
3.113161169671889752e+02 2.589841556930219824e+01
3.282893159900709747e+02 3.056820039120929877e+01
3.463650879694350238e+02 3.607525544656790117e+01
3.656431084096860218e+02 4.253759723295159745e+01
3.862345087313649969e+02 5.008630996237430111e+01
4.082627813400309833e+02 5.886814650727819753e+01
4.318655732434609718e+02 6.904848416388330179e+01
4.571960062399580238e+02 8.081427239375200600e+01
4.844248688838209773e+02 9.437689355711050609e+01
5.137316304813999750e+02 1.090440586379360042e+02
5.452346613941230089e+02 1.238660442431259980e+02
5.790519663887849902e+02 1.384709356812269903e+02
6.152959051833489639e+02 1.532077670787099919e+02
6.539540175721440391e+02 1.604729104249879867e+02
6.949796293397939735e+02 1.738962093257889876e+02
7.388403359629010083e+02 1.908789550351579862e+02
7.857743342658300207e+02 2.093457294086520051e+02
8.360329387417259568e+02 2.299295151367410028e+02
8.898779391963510079e+02 2.522625693658009993e+02
9.475721798448480513e+02 2.762089193032480239e+02
1.009387352385969962e+03 3.017196936058459755e+02
1.075607153454079935e+03 3.287737275280200038e+02
1.146528598778520063e+03 3.573561302425890176e+02
1.222462770139479971e+03 3.874487942676159946e+02
1.303735251772480069e+03 4.190262605275449914e+02
1.390686341092269913e+03 4.520526645593540138e+02
1.483671279778599910e+03 4.864803167054229789e+02
1.583060375517459988e+03 5.222487195093590344e+02
1.689239097904850041e+03 5.592840326003130258e+02
1.802608163451639939e+03 5.974989085458339559e+02
1.923583625775879909e+03 6.367926754121209569e+02
2.052596988057270210e+03 6.770518652230799717e+02
2.190095356237000033e+03 7.181510955441079886e+02
2.336541461879599865e+03 7.599541999376690455e+02
2.492414662992860030e+03 8.023162400418359539e+02
